"Url","Nom","Prix","Marque","ratingValue","ratingCount","Nombre de couverts","Format","Classe énergétique","Consommation d'eau","Consommation d'eau par cycle","Consommation d'énergie","Niveau sonore (Norme EN 60704-3)","Nombre de programmes","Qualité de séchage","Sécurités","Hauteur","Largeur (cm)","Profondeur (cm)","Finition","Origine de fabrication","Disponibilité des pièces détachées"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/beko_dfs26010w.html","Beko DFS26010W",318,"Beko","4.40",71,10,45,"A+",3080,"10 L et plus",238,47,6,"A","Anti-débordement, anti-fuite, sécurité enfant.",85,"44,8",60,"Blanc","Turquie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/indesit_dfg26b16nx_fr.html","Indesit DFG26B16NX FR",352,"Indesit","3.80",10,13,"Standard","A+",3080,"10 L et plus",293,46,,"A",,85,60,60,"Inox","Pologne",
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn258w00te.html","Siemens SN258W00TE",651,"Siemens","4.80",5,14,"Standard","A++",2660,"Moins de 10 L",237,40,8,"A","Sécurité aquaStop 100% anti fuite.","84,5",60,60,"Blanc","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/brandt_dfh13526b.html","Brandt DFH13526B NOIR",391,"Brandt","3.50",4,13,"Standard","A++",2800,"10 L et plus",262,46,7,"A","Anti-débordement","84,5","59,8",60,"Noir","Chine",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn278i36homeconnect.html","Siemens SN278I36TE",886,"Siemens",,0,,"Standard","A+++",2100,"Moins de 10 L",211,42,8,"A","AquaStop, Sécurité enfants verrouillage de la porte","84,5",60,60,"Silver","Allemagne",8
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/beko_tdfn15310w.html","Beko TDFN15310W",314,"Beko",4,3,13,"Standard","A+",3080,"10 L et plus",295,47,5,"A","Anti-débordement, anti-fuite ",85,"59,8",60,"Blanc","Turquie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_blv2az-2.html","Smeg BLV2AZ-2 BLEU AZUR",1296,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",233,42,9,"A","Stop-Aqua total, triple sécurité","88,5",60,"59,8","Bleu azur","Italie","Non communiquée"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_blv2x-2.html","Smeg BLV2X-2 GRIS METAL",1296,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",233,42,9,"A","Stop-Aqua total, triple sécurité","88,5",60,"59,8","Gris métal","Italie","Non communiquée"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_blv2ro-2.html","Smeg BLV2RO-2 ROSE",1296,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",233,42,9,"A","Stop-Aqua total, triple sécurité","88,5",60,"59,8","Rose","Italie","Non communiquée"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_blv2_ne-2.html","Smeg BLV2 NE-2 NOIR",1296,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",233,42,5,"A","Stop-Aqua total, triple sécurité","85,5",60,"59,8","Noir","Italie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/smeg_blv2r-2.html","Smeg BLV2R-2 ROUGE",1296,"Smeg",,0,13,"Standard","A+++",2380,"Moins de 10 L",233,42,9,"A","Stop-Aqua total, triple sécurité","88,5",60,"59,8","Rouge","Italie","Non communiquée"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms50d48eu.html","Bosch SMS50D48EU SILVER INOX","405.73","Bosch","4.30",4,12,"Standard","A+",3300,"10 L et plus",290,48,5,"A","Aquastop, sécurité enfant.","84,5",60,60,"Silver","Pologne",8
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sks51e22eu.html","Bosch SKS51E22EU","276.89","Bosch","4.30",3,6,"Compact","A+",2240,"Moins de 10 L",174,48,5,"A","Sécurité multiple, sécurité anti-fuite.",45,"55,1",50,"Blanc","Espagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/electrolux_esf5511lox.html","Electrolux ESF5511LOX INOX","391.69","Electrolux","3.50",15,13,"Standard","A+",3080,"10 L et plus",295,47,6,"A","Anti-débordement, aquacontrôle",85,60,"62,5","Inox","Pologne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/electrolux_esf4510low.html","Electrolux ESF4510LOW",472,"Electrolux",4,1,9,45,"A+",2660,"Moins de 10 L",222,47,6,"A","Anti-débordement, Aqua contrôle",85,"44,6","61,5","Blanc","Pologne",
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn24e209eu.html","Siemens SN24E209EU",404,"Siemens",4,40,12,"Standard","A+",3360,"10 L et plus",290,48,4,"A","Antifuite","84,5",60,60,"Blanc","Turquie",10
